seed,seat,opponent_name,family,outcome,candidate_final_money,opponent_final_money,status
101,0,pass,basic_baselines,1.0,40800.0,3000.0,DONE
101,1,pass,basic_baselines,1.0,40800.0,3000.0,DONE
103,0,pass,basic_baselines,1.0,40778.0,3000.0,DONE
103,1,pass,basic_baselines,1.0,40778.0,3000.0,DONE
107,0,pass,basic_baselines,1.0,40843.0,3000.0,DONE
107,1,pass,basic_baselines,1.0,40846.0,3000.0,DONE
109,0,pass,basic_baselines,1.0,40870.0,3000.0,DONE
109,1,pass,basic_baselines,1.0,40870.0,3000.0,DONE
113,0,pass,basic_baselines,1.0,40650.0,3000.0,DONE
113,1,pass,basic_baselines,1.0,40650.0,3000.0,DONE
127,0,pass,basic_baselines,1.0,40624.0,3000.0,DONE
127,1,pass,basic_baselines,1.0,40624.0,3000.0,DONE
131,0,pass,basic_baselines,1.0,40800.0,3000.0,DONE
131,1,pass,basic_baselines,1.0,40800.0,3000.0,DONE
137,0,pass,basic_baselines,1.0,40728.0,3000.0,DONE
137,1,pass,basic_baselines,1.0,40728.0,3000.0,DONE
101,0,deterministic_random,basic_baselines,1.0,40594.0,270.0,DONE
101,1,deterministic_random,basic_baselines,1.0,40704.0,380.0,DONE
103,0,deterministic_random,basic_baselines,1.0,40870.0,270.0,DONE
103,1,deterministic_random,basic_baselines,1.0,40684.0,380.0,DONE
107,0,deterministic_random,basic_baselines,1.0,40675.0,270.0,DONE
107,1,deterministic_random,basic_baselines,1.0,40870.0,380.0,DONE
109,0,deterministic_random,basic_baselines,1.0,40704.0,270.0,DONE
109,1,deterministic_random,basic_baselines,1.0,40846.0,380.0,DONE
113,0,deterministic_random,basic_baselines,1.0,40650.0,270.0,DONE
113,1,deterministic_random,basic_baselines,1.0,40846.0,380.0,DONE
127,0,deterministic_random,basic_baselines,1.0,40704.0,270.0,DONE
127,1,deterministic_random,basic_baselines,1.0,40650.0,380.0,DONE
131,0,deterministic_random,basic_baselines,1.0,40846.0,270.0,DONE
131,1,deterministic_random,basic_baselines,1.0,40910.0,380.0,DONE
137,0,deterministic_random,basic_baselines,1.0,40650.0,270.0,DONE
137,1,deterministic_random,basic_baselines,1.0,40678.0,380.0,DONE
101,0,wheat_only,basic_baselines,1.0,40781.0,3742.0,DONE
101,1,wheat_only,basic_baselines,1.0,40781.0,3742.0,DONE
103,0,wheat_only,basic_baselines,1.0,40730.0,3730.0,DONE
103,1,wheat_only,basic_baselines,1.0,40730.0,3730.0,DONE
107,0,wheat_only,basic_baselines,1.0,40821.0,3755.0,DONE
107,1,wheat_only,basic_baselines,1.0,40824.0,3755.0,DONE
109,0,wheat_only,basic_baselines,1.0,40781.0,3742.0,DONE
109,1,wheat_only,basic_baselines,1.0,40781.0,3742.0,DONE
113,0,wheat_only,basic_baselines,1.0,40680.0,3711.0,DONE
113,1,wheat_only,basic_baselines,1.0,40680.0,3711.0,DONE
127,0,wheat_only,basic_baselines,1.0,40706.0,3712.0,DONE
127,1,wheat_only,basic_baselines,1.0,40686.0,3712.0,DONE
131,0,wheat_only,basic_baselines,1.0,40625.0,3700.0,DONE
131,1,wheat_only,basic_baselines,1.0,40625.0,3700.0,DONE
137,0,wheat_only,basic_baselines,1.0,40509.0,3649.0,DONE
137,1,wheat_only,basic_baselines,1.0,40509.0,3649.0,DONE
101,0,starter,crop_closed_loop,1.0,40800.0,3501.0,DONE
101,1,starter,crop_closed_loop,1.0,40800.0,3501.0,DONE
103,0,starter,crop_closed_loop,1.0,40752.0,3503.0,DONE
103,1,starter,crop_closed_loop,1.0,40752.0,3503.0,DONE
107,0,starter,crop_closed_loop,1.0,40843.0,3504.0,DONE
107,1,starter,crop_closed_loop,1.0,40846.0,3504.0,DONE
109,0,starter,crop_closed_loop,1.0,40800.0,3501.0,DONE
109,1,starter,crop_closed_loop,1.0,40800.0,3501.0,DONE
113,0,starter,crop_closed_loop,1.0,40704.0,3507.0,DONE
113,1,starter,crop_closed_loop,1.0,40704.0,3507.0,DONE
127,0,starter,crop_closed_loop,1.0,40728.0,3518.0,DONE
127,1,starter,crop_closed_loop,1.0,40706.0,3518.0,DONE
131,0,starter,crop_closed_loop,1.0,40650.0,3509.0,DONE
131,1,starter,crop_closed_loop,1.0,40650.0,3509.0,DONE
137,0,starter,crop_closed_loop,1.0,40534.0,3514.0,DONE
137,1,starter,crop_closed_loop,1.0,40534.0,3514.0,DONE
