seed,seat,opponent_name,family,outcome,candidate_final_money,opponent_final_money,status
11,0,pass,basic_baselines,0.5,3000.0,3000.0,DONE
11,1,pass,basic_baselines,0.5,3000.0,3000.0,DONE
23,0,pass,basic_baselines,0.5,3000.0,3000.0,DONE
23,1,pass,basic_baselines,0.5,3000.0,3000.0,DONE
37,0,pass,basic_baselines,0.5,3000.0,3000.0,DONE
37,1,pass,basic_baselines,0.5,3000.0,3000.0,DONE
53,0,pass,basic_baselines,0.5,3000.0,3000.0,DONE
53,1,pass,basic_baselines,0.5,3000.0,3000.0,DONE
11,0,deterministic_random,basic_baselines,1.0,3000.0,2970.0,DONE
11,1,deterministic_random,basic_baselines,1.0,3000.0,2910.0,DONE
23,0,deterministic_random,basic_baselines,1.0,3000.0,2970.0,DONE
23,1,deterministic_random,basic_baselines,1.0,3000.0,2910.0,DONE
37,0,deterministic_random,basic_baselines,1.0,3000.0,2970.0,DONE
37,1,deterministic_random,basic_baselines,1.0,3000.0,2910.0,DONE
53,0,deterministic_random,basic_baselines,1.0,3000.0,2970.0,DONE
53,1,deterministic_random,basic_baselines,1.0,3000.0,2910.0,DONE
11,0,wheat_only,basic_baselines,1.0,3000.0,2980.0,DONE
11,1,wheat_only,basic_baselines,1.0,3000.0,2980.0,DONE
23,0,wheat_only,basic_baselines,1.0,3000.0,2980.0,DONE
23,1,wheat_only,basic_baselines,1.0,3000.0,2980.0,DONE
37,0,wheat_only,basic_baselines,1.0,3000.0,2980.0,DONE
37,1,wheat_only,basic_baselines,1.0,3000.0,2980.0,DONE
53,0,wheat_only,basic_baselines,1.0,3000.0,2980.0,DONE
53,1,wheat_only,basic_baselines,1.0,3000.0,2980.0,DONE
11,0,starter,crop_closed_loop,1.0,3000.0,2960.0,DONE
11,1,starter,crop_closed_loop,1.0,3000.0,2960.0,DONE
23,0,starter,crop_closed_loop,1.0,3000.0,2960.0,DONE
23,1,starter,crop_closed_loop,1.0,3000.0,2960.0,DONE
37,0,starter,crop_closed_loop,1.0,3000.0,2960.0,DONE
37,1,starter,crop_closed_loop,1.0,3000.0,2960.0,DONE
53,0,starter,crop_closed_loop,1.0,3000.0,2960.0,DONE
53,1,starter,crop_closed_loop,1.0,3000.0,2960.0,DONE
