seed,seat,opponent_name,family,outcome,candidate_final_money,opponent_final_money,status
11,0,pass,basic_baselines,1.0,8052.0,3000.0,DONE
11,1,pass,basic_baselines,1.0,8052.0,3000.0,DONE
23,0,pass,basic_baselines,1.0,7994.0,3000.0,DONE
23,1,pass,basic_baselines,1.0,7994.0,3000.0,DONE
37,0,pass,basic_baselines,1.0,8054.0,3000.0,DONE
37,1,pass,basic_baselines,1.0,8054.0,3000.0,DONE
53,0,pass,basic_baselines,1.0,8089.0,3000.0,DONE
53,1,pass,basic_baselines,1.0,8089.0,3000.0,DONE
11,0,deterministic_random,basic_baselines,1.0,8072.0,270.0,DONE
11,1,deterministic_random,basic_baselines,1.0,8091.0,380.0,DONE
23,0,deterministic_random,basic_baselines,1.0,8046.0,270.0,DONE
23,1,deterministic_random,basic_baselines,1.0,7991.0,380.0,DONE
37,0,deterministic_random,basic_baselines,1.0,8046.0,270.0,DONE
37,1,deterministic_random,basic_baselines,1.0,8057.0,380.0,DONE
53,0,deterministic_random,basic_baselines,1.0,8098.0,270.0,DONE
53,1,deterministic_random,basic_baselines,1.0,8118.0,380.0,DONE
11,0,wheat_only,basic_baselines,1.0,8069.0,3727.0,DONE
11,1,wheat_only,basic_baselines,1.0,8069.0,3727.0,DONE
23,0,wheat_only,basic_baselines,1.0,8057.0,3718.0,DONE
23,1,wheat_only,basic_baselines,1.0,8057.0,3718.0,DONE
37,0,wheat_only,basic_baselines,1.0,8057.0,3735.0,DONE
37,1,wheat_only,basic_baselines,1.0,8057.0,3735.0,DONE
53,0,wheat_only,basic_baselines,1.0,8110.0,3742.0,DONE
53,1,wheat_only,basic_baselines,1.0,8110.0,3742.0,DONE
11,0,starter,crop_closed_loop,1.0,8073.0,3493.0,DONE
11,1,starter,crop_closed_loop,1.0,8073.0,3493.0,DONE
23,0,starter,crop_closed_loop,1.0,8060.0,3495.0,DONE
23,1,starter,crop_closed_loop,1.0,8060.0,3495.0,DONE
37,0,starter,crop_closed_loop,1.0,8053.0,3483.0,DONE
37,1,starter,crop_closed_loop,1.0,8053.0,3483.0,DONE
53,0,starter,crop_closed_loop,1.0,8111.0,3505.0,DONE
53,1,starter,crop_closed_loop,1.0,8111.0,3505.0,DONE
