seed,seat,opponent,family,outcome,candidate_final_money,opponent_final_money,money_margin,p99_latency,weeds_at_end
101,0,moon,replay_tape_lineage,0.0,36888.0,191274.0,-154386.0,0.0018,3
101,1,moon,replay_tape_lineage,0.0,38782.0,192311.0,-153529.0,0.0017,2
103,0,moon,replay_tape_lineage,0.0,34379.0,178968.0,-144589.0,0.0015,0
103,1,moon,replay_tape_lineage,0.0,34959.0,186782.0,-151823.0,0.0014,1
107,0,moon,replay_tape_lineage,0.0,33491.0,172299.0,-138808.0,0.0015,3
107,1,moon,replay_tape_lineage,0.0,35132.0,172395.0,-137263.0,0.0019,3
109,0,moon,replay_tape_lineage,0.0,34521.0,183256.0,-148735.0,0.0017,1
109,1,moon,replay_tape_lineage,0.0,34908.0,181669.0,-146761.0,0.0014,0
113,0,moon,replay_tape_lineage,0.0,35543.0,174836.0,-139293.0,0.0018,1
113,1,moon,replay_tape_lineage,0.0,35687.0,174836.0,-139149.0,0.0017,2
127,0,moon,replay_tape_lineage,0.0,36765.0,181113.0,-144348.0,0.0014,4
127,1,moon,replay_tape_lineage,0.0,33895.0,178472.0,-144577.0,0.0017,1
131,0,moon,replay_tape_lineage,0.0,34690.0,177313.0,-142623.0,0.0017,1
131,1,moon,replay_tape_lineage,0.0,36492.0,184804.0,-148312.0,0.0016,10
137,0,moon,replay_tape_lineage,0.0,35361.0,179722.0,-144361.0,0.0017,1
137,1,moon,replay_tape_lineage,0.0,35675.0,183920.0,-148245.0,0.0015,3
101,0,soil,replay_tape_lineage,0.0,36888.0,191274.0,-154386.0,0.0019,3
101,1,soil,replay_tape_lineage,0.0,38782.0,192311.0,-153529.0,0.0017,2
103,0,soil,replay_tape_lineage,0.0,34379.0,178968.0,-144589.0,0.0014,0
103,1,soil,replay_tape_lineage,0.0,34959.0,186782.0,-151823.0,0.0017,1
107,0,soil,replay_tape_lineage,0.0,33491.0,172299.0,-138808.0,0.0015,3
107,1,soil,replay_tape_lineage,0.0,35132.0,172395.0,-137263.0,0.0018,3
109,0,soil,replay_tape_lineage,0.0,34521.0,183256.0,-148735.0,0.0016,1
109,1,soil,replay_tape_lineage,0.0,34908.0,181669.0,-146761.0,0.0015,0
113,0,soil,replay_tape_lineage,0.0,35543.0,174836.0,-139293.0,0.0018,1
113,1,soil,replay_tape_lineage,0.0,35687.0,174836.0,-139149.0,0.0018,2
127,0,soil,replay_tape_lineage,0.0,36765.0,181113.0,-144348.0,0.0016,4
127,1,soil,replay_tape_lineage,0.0,33895.0,178472.0,-144577.0,0.0017,1
131,0,soil,replay_tape_lineage,0.0,34690.0,177313.0,-142623.0,0.0016,1
131,1,soil,replay_tape_lineage,0.0,36492.0,184804.0,-148312.0,0.0016,10
137,0,soil,replay_tape_lineage,0.0,35361.0,179722.0,-144361.0,0.0018,1
137,1,soil,replay_tape_lineage,0.0,35675.0,183920.0,-148245.0,0.0015,3
101,0,roman_anchor,replay_tape_lineage,0.0,25600.0,160649.0,-135049.0,0.0011,1
101,1,roman_anchor,replay_tape_lineage,0.0,26964.0,159333.0,-132369.0,0.001,1
103,0,roman_anchor,replay_tape_lineage,0.0,27428.0,188709.0,-161281.0,0.0011,1
103,1,roman_anchor,replay_tape_lineage,0.0,18405.0,192109.0,-173704.0,0.001,0
107,0,roman_anchor,replay_tape_lineage,0.0,26285.0,175797.0,-149512.0,0.0011,0
107,1,roman_anchor,replay_tape_lineage,0.0,27013.0,175684.0,-148671.0,0.001,1
109,0,roman_anchor,replay_tape_lineage,0.0,27955.0,178061.0,-150106.0,0.0011,0
109,1,roman_anchor,replay_tape_lineage,0.0,19916.0,181789.0,-161873.0,0.001,1
113,0,roman_anchor,replay_tape_lineage,0.0,27423.0,184686.0,-157263.0,0.0011,0
113,1,roman_anchor,replay_tape_lineage,0.0,27973.0,184766.0,-156793.0,0.0011,2
127,0,roman_anchor,replay_tape_lineage,0.0,27471.0,181111.0,-153640.0,0.0011,0
127,1,roman_anchor,replay_tape_lineage,0.0,25266.0,181453.0,-156187.0,0.0011,0
131,0,roman_anchor,replay_tape_lineage,0.0,28128.0,189570.0,-161442.0,0.0012,0
131,1,roman_anchor,replay_tape_lineage,0.0,28211.0,192029.0,-163818.0,0.0011,0
137,0,roman_anchor,replay_tape_lineage,0.0,27965.0,167533.0,-139568.0,0.001,1
137,1,roman_anchor,replay_tape_lineage,0.0,26804.0,167710.0,-140906.0,0.001,1
101,0,kaito_v17,learned_market_ranker,0.0,35010.0,179139.0,-144129.0,0.0017,4
101,1,kaito_v17,learned_market_ranker,0.0,34262.0,178167.0,-143905.0,0.0018,2
103,0,kaito_v17,learned_market_ranker,0.0,32197.0,166013.0,-133816.0,0.0017,3
103,1,kaito_v17,learned_market_ranker,0.0,31975.0,172265.0,-140290.0,0.0016,4
107,0,kaito_v17,learned_market_ranker,0.0,31657.0,186214.0,-154557.0,0.0017,2
107,1,kaito_v17,learned_market_ranker,0.0,32859.0,185306.0,-152447.0,0.0017,5
109,0,kaito_v17,learned_market_ranker,0.0,36906.0,190858.0,-153952.0,0.0018,6
109,1,kaito_v17,learned_market_ranker,0.0,40613.0,190884.0,-150271.0,0.0019,3
113,0,kaito_v17,learned_market_ranker,0.0,36005.0,185434.0,-149429.0,0.0019,2
113,1,kaito_v17,learned_market_ranker,0.0,34221.0,182429.0,-148208.0,0.0018,0
127,0,kaito_v17,learned_market_ranker,0.0,35466.0,174439.0,-138973.0,0.0016,7
127,1,kaito_v17,learned_market_ranker,0.0,31592.0,159011.0,-127419.0,0.0018,3
131,0,kaito_v17,learned_market_ranker,0.0,36592.0,182377.0,-145785.0,0.0018,0
131,1,kaito_v17,learned_market_ranker,0.0,36235.0,172303.0,-136068.0,0.0019,2
137,0,kaito_v17,learned_market_ranker,0.0,32888.0,173404.0,-140516.0,0.002,2
137,1,kaito_v17,learned_market_ranker,0.0,29247.0,174471.0,-145224.0,0.0018,1
101,0,pilkwang,economic_control,0.0,24240.0,151612.0,-127372.0,0.0019,1
101,1,pilkwang,economic_control,0.0,26875.0,155146.0,-128271.0,0.0017,4
103,0,pilkwang,economic_control,0.0,32892.0,162960.0,-130068.0,0.0019,6
103,1,pilkwang,economic_control,0.0,34137.0,163270.0,-129133.0,0.0018,1
107,0,pilkwang,economic_control,0.0,26572.0,145783.0,-119211.0,0.0017,2
107,1,pilkwang,economic_control,0.0,27363.0,145150.0,-117787.0,0.0016,2
